method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
opencv,1,0.385962,0.385962,2.2300163,2590.9286406433794,57.30719604520652
cpu,1,1.1430034999999998,1.1430034999999998,1.58518745,874.8879596606661,19.351121846958478
cpu_fixed,1,0.979284,0.979284,1.29848945,1021.1542310504409,22.58629774406607
cuda,1,2.169756,2.169756,4.03933935,460.8813156871095,10.193957292893762
cuda_kernel_only,1,0.1074879989027977,0.1074879989027977,1.4619440019130703,9303.364191422974,205.77553053156993
opencv,2,0.8635714999999999,1.7271429999999999,4.90475675,1157.9817073629688,25.61270259613709
cpu,2,0.8021020000000001,1.6042040000000002,2.0454249,1246.724232080209,27.575545254842897
cpu_fixed,2,0.510473,1.020946,1.30063675,1958.9674674272685,43.3292260315433
cuda,2,2.8164497500000003,5.632899500000001,10.831074700000002,355.05692938423624,7.853291186892291
cuda_kernel_only,2,0.08627200126647949,0.17254400253295898,0.6541663885116558,11591.246120640817,256.3798181947819
opencv,4,1.1817457500000002,4.726983000000001,10.482725250000003,846.2057087998835,18.716716349519345
cpu,4,0.685705875,2.7428235,3.3454686500000004,1458.3512209225273,32.25639564485283
cpu_fixed,4,0.35862075,1.434483,2.6062214500000005,2788.4610692493393,61.676297314084586
cuda,4,2.4214207500000002,9.685683000000001,11.3744612,412.98068499660786,9.134471983028972
cuda_kernel_only,4,0.09311600029468536,0.37246400117874146,0.43311040997505185,10739.292890967046,237.5359758795655
opencv,8,1.031429875,8.251439,17.009181250000005,969.5278605343868,21.444405030443782
cpu,8,0.69392925,5.551434,7.014728,1441.0691003441632,31.87414278905234
cpu_fixed,8,0.371447625,2.971581,4.0489783,2692.1695891850163,59.54648384142986
cuda,8,2.376716,19.013728,20.738219349999998,420.7486296217133,9.306286489424904
cuda_kernel_only,8,0.09123999997973442,0.7299199998378754,0.8713424146175384,10960.105219444464,242.41999128576043
opencv,16,1.1326594375,18.122551,45.785156650000005,882.8779127176963,19.527846824655093
cpu,16,0.64383734375,10.3013975,12.350111500000002,1553.1873223997036,34.3540184717656
cpu_fixed,16,0.3729960625,5.967937,6.708369149999999,2680.9934488249455,59.29928549848968
cuda,16,2.35430075,37.668812,38.71958705,424.7545688459726,9.39489145556276
cuda_kernel_only,16,0.09137099981307983,1.4619359970092773,3.1524304270744317,10944.391568941212,242.0724304784693
opencv,32,1.32661,42.45152,105.1423548,753.8010417530396,16.672872961910432
cpu,32,0.673685578125,21.5579385,24.5456128,1484.3719866813797,32.831933350213426
cpu_fixed,32,0.445482796875,14.2554495,15.24196775,2244.7555932908326,49.65040211464395
cuda,32,2.30985109375,73.915235,75.12872215,432.92834014530297,9.575682198669869
cuda_kernel_only,32,0.07703449949622154,2.4651039838790894,4.583609676361084,12981.19682141959,287.123303774887
opencv,48,1.2274844479166667,58.919253499999996,106.72376055000001,814.6742728164404,18.019291435863156
cpu,48,0.6360175416666666,30.528841999999997,33.985981699999996,1572.2836784965511,34.77639931445812
cpu_fixed,48,0.3966333020833333,19.0383985,22.8752473,2521.2204692532305,55.76536282713065
cuda,48,2.3200895,111.364296,113.39821989999999,431.0178551301577,9.533425326910882
cuda_kernel_only,48,0.09106000264485678,4.370880126953125,5.74847183227539,10981.769942398323,242.8991802939431
opencv,64,1.0267272421875,65.7105435,138.1515221,973.9685078087963,21.54262504311808
cpu,64,0.6256874921875,40.0439995,46.65135125,1598.2419538288127,35.35055483156721
cpu_fixed,64,0.389212578125,24.909605,30.80572335,2569.290038922737,56.82858479690867
cuda,64,2.36706759375,151.492326,155.4983064,422.46364347194725,9.34421985176992
cuda_kernel_only,64,0.09716349840164185,6.218463897705078,7.717505550384521,10291.930781108045,227.6410417888602
